,date,name,point
239,2017-12-05,러스트 앤 본,8.34
240,2017-12-05,공조,8.3
241,2017-12-05,딥,8.16
242,2017-12-05,박열,8.08
243,2017-12-05,잠깐만 회사 좀 관두고 올게,8.02
244,2017-12-05,블레이드 러너 2049,8.02
245,2017-12-05,마더,7.99
246,2017-12-05,너의 췌장을 먹고 싶어,7.98
247,2017-12-05,프랭크,7.94
248,2017-12-05,저스티스 리그,7.94
249,2017-12-05,메소드,7.93
250,2017-12-06,살인의 추억,9.37
251,2017-12-06,뷰티풀 투모로우,9.36
252,2017-12-06,아이 캔 스피크,9.34
253,2017-12-06,다시 태어나도 우리,9.32
254,2017-12-06,록키,9.31
255,2017-12-06,시네마 천국,9.29
256,2017-12-06,빌리 엘리어트,9.28
257,2017-12-06,땐뽀걸즈,9.26
258,2017-12-06,킹 오브 프리즘,9.23
259,2017-12-06,"나, 다니엘 블레이크",9.22
260,2017-12-06,흑집사 : 북 오브 더 아틀란틱,9.22
261,2017-12-06,스쿨 오브 락,9.21
262,2017-12-06,러빙 빈센트,9.2
263,2017-12-06,킹 오브 프리즘 프라이드 더 히어로,9.2
264,2017-12-06,극장판 쿠로코의 농구 라스트 게임,9.19
265,2017-12-06,동급생,9.18
266,2017-12-06,내 사랑,9.18
267,2017-12-06,범죄도시,9.16
268,2017-12-06,댄서,9.13
269,2017-12-06,이프 온리,9.09
270,2017-12-06,버킷리스트: 죽기 전에 꼭 하고 싶은 것들,9.07
271,2017-12-06,택시운전사,9.06
272,2017-12-06,하이큐!! 승자와 패자,9.03
273,2017-12-06,"조제, 호랑이 그리고 물고기들",9.01
274,2017-12-06,원스,8.99
275,2017-12-06,채비,8.94
276,2017-12-06,빅풋 주니어,8.92
277,2017-12-06,하이큐!! 끝과 시작,8.91
278,2017-12-06,매디슨 카운티의 다리,8.91
279,2017-12-06,행복을 찾아서,8.9
280,2017-12-06,미션,8.9
281,2017-12-06,여배우는 오늘도,8.88
282,2017-12-06,벤자민 버튼의 시간은 거꾸로 간다,8.87
283,2017-12-06,토르: 라그나로크,8.87
284,2017-12-06,스윗 프랑세즈,8.82
285,2017-12-06,넛잡 2,8.82
286,2017-12-06,순정,8.77
287,2017-12-06,너의 이름은.,8.75
288,2017-12-06,행복한 사전,8.67
289,2017-12-06,배드 지니어스,8.62
290,2017-12-06,"나는 내일, 어제의 너와 만난다",8.58
291,2017-12-06,문영,8.53
292,2017-12-06,러브 라이브! 더 스쿨 아이돌 무비,8.53
293,2017-12-06,몬스터 콜,8.5
294,2017-12-06,오두막,8.49
295,2017-12-06,옥자,8.46
296,2017-12-06,기억의 밤,8.44
297,2017-12-06,반드시 잡는다,8.43
298,2017-12-06,덩케르크,8.36
299,2017-12-06,해피 데스데이,8.35
300,2017-12-07,살인의 추억,9.37
301,2017-12-07,아이 캔 스피크,9.34
302,2017-12-07,다시 태어나도 우리,9.32
303,2017-12-07,록키,9.3
304,2017-12-07,빌리 엘리어트,9.28
305,2017-12-07,땐뽀걸즈,9.26
306,2017-12-07,킹 오브 프리즘,9.23
307,2017-12-07,"나, 다니엘 블레이크",9.22
308,2017-12-07,흑집사 : 북 오브 더 아틀란틱,9.22
309,2017-12-07,스쿨 오브 락,9.21
310,2017-12-07,러빙 빈센트,9.2
311,2017-12-07,킹 오브 프리즘 프라이드 더 히어로,9.2
312,2017-12-07,극장판 쿠로코의 농구 라스트 게임,9.19
313,2017-12-07,동급생,9.18
314,2017-12-07,내 사랑,9.18
315,2017-12-07,범죄도시,9.16
316,2017-12-07,댄서,9.13
317,2017-12-07,이프 온리,9.09
318,2017-12-07,버킷리스트: 죽기 전에 꼭 하고 싶은 것들,9.07
319,2017-12-07,택시운전사,9.06
320,2017-12-07,하이큐!! 승자와 패자,9.03
321,2017-12-07,"조제, 호랑이 그리고 물고기들",9.01
322,2017-12-07,채비,8.94
323,2017-12-07,빅풋 주니어,8.92
324,2017-12-07,하이큐!! 끝과 시작,8.91
325,2017-12-07,매디슨 카운티의 다리,8.91
326,2017-12-07,행복을 찾아서,8.9
327,2017-12-07,미션,8.9
328,2017-12-07,여배우는 오늘도,8.88
329,2017-12-07,벤자민 버튼의 시간은 거꾸로 간다,8.87
330,2017-12-07,토르: 라그나로크,8.87
331,2017-12-07,넛잡 2,8.82
332,2017-12-07,순정,8.77
333,2017-12-07,너의 이름은.,8.75
334,2017-12-07,행복한 사전,8.67
335,2017-12-07,배드 지니어스,8.61
336,2017-12-07,록키 호러 픽쳐 쇼,8.57
337,2017-12-07,문영,8.53
338,2017-12-07,러브 라이브! 더 스쿨 아이돌 무비,8.53
339,2017-12-07,메리와 마녀의 꽃,8.53
340,2017-12-07,몬스터 콜,8.5
341,2017-12-07,오두막,8.49
342,2017-12-07,옥자,8.46
343,2017-12-07,기억의 밤,8.45
344,2017-12-07,반드시 잡는다,8.39
345,2017-12-07,덩케르크,8.35
346,2017-12-07,해피 데스데이,8.35
347,2017-12-07,오리엔트 특급 살인,8.31
348,2017-12-07,공조,8.3
349,2017-12-07,우리의 20세기,8.26
350,2017-12-08,살인의 추억,9.37
351,2017-12-08,아이 캔 스피크,9.34
352,2017-12-08,다시 태어나도 우리,9.33
353,2017-12-08,록키,9.3
354,2017-12-08,빌리 엘리어트,9.28
355,2017-12-08,땐뽀걸즈,9.26
356,2017-12-08,킹 오브 프리즘,9.23
357,2017-12-08,"나, 다니엘 블레이크",9.22
358,2017-12-08,흑집사 : 북 오브 더 아틀란틱,9.22
359,2017-12-08,스쿨 오브 락,9.21
360,2017-12-08,러빙 빈센트,9.2
361,2017-12-08,킹 오브 프리즘 프라이드 더 히어로,9.2
362,2017-12-08,극장판 쿠로코의 농구 라스트 게임,9.19
363,2017-12-08,동급생,9.18
364,2017-12-08,내 사랑,9.18
365,2017-12-08,범죄도시,9.16
366,2017-12-08,댄서,9.12
367,2017-12-08,이프 온리,9.09
368,2017-12-08,버킷리스트: 죽기 전에 꼭 하고 싶은 것들,9.07
369,2017-12-08,택시운전사,9.06
370,2017-12-08,하이큐!! 승자와 패자,9.03
371,2017-12-08,"조제, 호랑이 그리고 물고기들",9.01
372,2017-12-08,채비,8.94
373,2017-12-08,빅풋 주니어,8.92
374,2017-12-08,하이큐!! 끝과 시작,8.91
375,2017-12-08,매디슨 카운티의 다리,8.91
376,2017-12-08,행복을 찾아서,8.9
377,2017-12-08,미션,8.9
378,2017-12-08,여배우는 오늘도,8.88
379,2017-12-08,벤자민 버튼의 시간은 거꾸로 간다,8.87
380,2017-12-08,토르: 라그나로크,8.87
381,2017-12-08,넛잡 2,8.82
382,2017-12-08,순정,8.77
383,2017-12-08,너의 이름은.,8.75
384,2017-12-08,행복한 사전,8.67
385,2017-12-08,배드 지니어스,8.62
386,2017-12-08,라라랜드,8.59
387,2017-12-08,록키 호러 픽쳐 쇼,8.57
388,2017-12-08,문영,8.53
389,2017-12-08,러브 라이브! 더 스쿨 아이돌 무비,8.53
390,2017-12-08,몬스터 콜,8.5
391,2017-12-08,오두막,8.49
392,2017-12-08,메리와 마녀의 꽃,8.48
393,2017-12-08,옥자,8.46
394,2017-12-08,기억의 밤,8.45
395,2017-12-08,반드시 잡는다,8.35
396,2017-12-08,해피 데스데이,8.35
397,2017-12-08,덩케르크,8.35
398,2017-12-08,공조,8.3
399,2017-12-08,오리엔트 특급 살인,8.29
400,2017-12-09,살인의 추억,9.37
401,2017-12-09,아이 캔 스피크,9.34
402,2017-12-09,다시 태어나도 우리,9.33
403,2017-12-09,록키,9.3
404,2017-12-09,빌리 엘리어트,9.28
405,2017-12-09,땐뽀걸즈,9.26
406,2017-12-09,킹 오브 프리즘,9.23
407,2017-12-09,"나, 다니엘 블레이크",9.22
408,2017-12-09,흑집사 : 북 오브 더 아틀란틱,9.22
409,2017-12-09,스쿨 오브 락,9.21
410,2017-12-09,러빙 빈센트,9.2
411,2017-12-09,킹 오브 프리즘 프라이드 더 히어로,9.2
412,2017-12-09,극장판 쿠로코의 농구 라스트 게임,9.19
413,2017-12-09,동급생,9.18
414,2017-12-09,내 사랑,9.18
415,2017-12-09,범죄도시,9.16
416,2017-12-09,댄서,9.12
417,2017-12-09,이프 온리,9.09
418,2017-12-09,버킷리스트: 죽기 전에 꼭 하고 싶은 것들,9.07
419,2017-12-09,택시운전사,9.06
420,2017-12-09,뽀로로 극장판 공룡섬 대모험,9.06
421,2017-12-09,하이큐!! 승자와 패자,9.03
422,2017-12-09,"조제, 호랑이 그리고 물고기들",9.01
423,2017-12-09,채비,8.94
424,2017-12-09,빅풋 주니어,8.92
425,2017-12-09,하이큐!! 끝과 시작,8.91
426,2017-12-09,매디슨 카운티의 다리,8.91
427,2017-12-09,행복을 찾아서,8.9
428,2017-12-09,미션,8.9
429,2017-12-09,여배우는 오늘도,8.88
430,2017-12-09,벤자민 버튼의 시간은 거꾸로 간다,8.87
431,2017-12-09,토르: 라그나로크,8.87
432,2017-12-09,넛잡 2,8.82
433,2017-12-09,순정,8.77
434,2017-12-09,너의 이름은.,8.75
435,2017-12-09,행복한 사전,8.67
436,2017-12-09,라라랜드,8.59
437,2017-12-09,배드 지니어스,8.59
438,2017-12-09,록키 호러 픽쳐 쇼,8.57
439,2017-12-09,러브 라이브! 더 스쿨 아이돌 무비,8.53
440,2017-12-09,문영,8.53
441,2017-12-09,몬스터 콜,8.51
442,2017-12-09,옥자,8.46
443,2017-12-09,기억의 밤,8.44
444,2017-12-09,해피 데스데이,8.35
445,2017-12-09,덩케르크,8.34
446,2017-12-09,반드시 잡는다,8.34
447,2017-12-09,공조,8.3
448,2017-12-09,오리엔트 특급 살인,8.27
449,2017-12-09,우리의 20세기,8.26
450,2017-12-10,살인의 추억,9.37
451,2017-12-10,아이 캔 스피크,9.34
452,2017-12-10,다시 태어나도 우리,9.32
453,2017-12-10,록키,9.3
454,2017-12-10,빌리 엘리어트,9.28
455,2017-12-10,땐뽀걸즈,9.26
456,2017-12-10,가위손,9.25
457,2017-12-10,킹 오브 프리즘,9.23
458,2017-12-10,"나, 다니엘 블레이크",9.22
459,2017-12-10,흑집사 : 북 오브 더 아틀란틱,9.22
460,2017-12-10,스쿨 오브 락,9.21
461,2017-12-10,러빙 빈센트,9.2
462,2017-12-10,킹 오브 프리즘 프라이드 더 히어로,9.2
463,2017-12-10,극장판 쿠로코의 농구 라스트 게임,9.19
464,2017-12-10,동급생,9.18
465,2017-12-10,뽀로로 극장판 공룡섬 대모험,9.18
466,2017-12-10,내 사랑,9.18
467,2017-12-10,범죄도시,9.16
468,2017-12-10,댄서,9.12
469,2017-12-10,이프 온리,9.09
470,2017-12-10,버킷리스트: 죽기 전에 꼭 하고 싶은 것들,9.07
471,2017-12-10,택시운전사,9.06
472,2017-12-10,하이큐!! 승자와 패자,9.03
473,2017-12-10,"조제, 호랑이 그리고 물고기들",9.01
474,2017-12-10,채비,8.92
475,2017-12-10,빅풋 주니어,8.92
476,2017-12-10,매디슨 카운티의 다리,8.91
477,2017-12-10,하이큐!! 끝과 시작,8.91
478,2017-12-10,행복을 찾아서,8.9
479,2017-12-10,미션,8.9
480,2017-12-10,여배우는 오늘도,8.88
481,2017-12-10,벤자민 버튼의 시간은 거꾸로 간다,8.87
482,2017-12-10,토르: 라그나로크,8.87
483,2017-12-10,순정,8.77
484,2017-12-10,너의 이름은.,8.75
485,2017-12-10,행복한 사전,8.67
486,2017-12-10,라라랜드,8.59
487,2017-12-10,배드 지니어스,8.58
488,2017-12-10,실버라이닝 플레이북,8.56
489,2017-12-10,러브 라이브! 더 스쿨 아이돌 무비,8.53
490,2017-12-10,문영,8.53
491,2017-12-10,캐롤,8.52
492,2017-12-10,몬스터 콜,8.51
493,2017-12-10,옥자,8.46
494,2017-12-10,기억의 밤,8.43
495,2017-12-10,해피 데스데이,8.34
496,2017-12-10,덩케르크,8.34
497,2017-12-10,반드시 잡는다,8.28
498,2017-12-10,우리의 20세기,8.26
499,2017-12-10,언어의 정원,8.24
500,2017-12-11,살인의 추억,9.37
501,2017-12-11,아이 캔 스피크,9.34
502,2017-12-11,다시 태어나도 우리,9.32
503,2017-12-11,록키,9.3
504,2017-12-11,빌리 엘리어트,9.28
505,2017-12-11,땐뽀걸즈,9.26
506,2017-12-11,가위손,9.25
507,2017-12-11,뽀로로 극장판 공룡섬 대모험,9.22
508,2017-12-11,"나, 다니엘 블레이크",9.22
509,2017-12-11,스쿨 오브 락,9.21
510,2017-12-11,러빙 빈센트,9.2
511,2017-12-11,내 사랑,9.17
512,2017-12-11,범죄도시,9.16
513,2017-12-11,댄서,9.12
514,2017-12-11,히트,9.11
515,2017-12-11,이프 온리,9.09
516,2017-12-11,버킷리스트: 죽기 전에 꼭 하고 싶은 것들,9.07
517,2017-12-11,"조제, 호랑이 그리고 물고기들",9.01
518,2017-12-11,파도가 지나간 자리,8.99
519,2017-12-11,빅풋 주니어,8.92
520,2017-12-11,채비,8.92
521,2017-12-11,매디슨 카운티의 다리,8.91
522,2017-12-11,행복을 찾아서,8.9
523,2017-12-11,미션,8.9
524,2017-12-11,여배우는 오늘도,8.89
525,2017-12-11,벤자민 버튼의 시간은 거꾸로 간다,8.87
526,2017-12-11,토르: 라그나로크,8.87
527,2017-12-11,순정,8.77
528,2017-12-11,행복한 사전,8.67
529,2017-12-11,라라랜드,8.59
530,2017-12-11,배드 지니어스,8.57
531,2017-12-11,실버라이닝 플레이북,8.56
532,2017-12-11,문영,8.53
533,2017-12-11,캐롤,8.52
534,2017-12-11,몬스터 콜,8.51
535,2017-12-11,옥자,8.46
536,2017-12-11,기억의 밤,8.42
537,2017-12-11,해피 데스데이,8.34
538,2017-12-11,덩케르크,8.33
539,2017-12-11,반드시 잡는다,8.27
540,2017-12-11,우리의 20세기,8.26
541,2017-12-11,오리엔트 특급 살인,8.22
542,2017-12-11,문라이트,8.1
543,2017-12-11,베이비 드라이버,8.08
544,2017-12-11,잠깐만 회사 좀 관두고 올게,8.01
545,2017-12-11,메소드,8.0
546,2017-12-11,너의 췌장을 먹고 싶어,7.97
547,2017-12-11,프랭크,7.94
548,2017-12-11,저스티스 리그,7.93
549,2017-12-11,꾼,7.88
550,2017-12-12,아이 캔 스피크,9.34
551,2017-12-12,다시 태어나도 우리,9.32
552,2017-12-12,록키,9.3
553,2017-12-12,빌리 엘리어트,9.28
554,2017-12-12,가위손,9.25
555,2017-12-12,뽀로로 극장판 공룡섬 대모험,9.24
556,2017-12-12,"나, 다니엘 블레이크",9.22
557,2017-12-12,스쿨 오브 락,9.21
558,2017-12-12,러빙 빈센트,9.2
559,2017-12-12,킹 오브 프리즘 프라이드 더 히어로,9.2
560,2017-12-12,내 사랑,9.17
561,2017-12-12,범죄도시,9.16
562,2017-12-12,댄서,9.12
563,2017-12-12,히트,9.11
564,2017-12-12,이프 온리,9.09
565,2017-12-12,버킷리스트: 죽기 전에 꼭 하고 싶은 것들,9.07
566,2017-12-12,"조제, 호랑이 그리고 물고기들",9.01
567,2017-12-12,파도가 지나간 자리,8.99
568,2017-12-12,빅풋 주니어,8.92
569,2017-12-12,매디슨 카운티의 다리,8.91
570,2017-12-12,채비,8.91
571,2017-12-12,행복을 찾아서,8.9
572,2017-12-12,미션,8.9
573,2017-12-12,여배우는 오늘도,8.89
574,2017-12-12,벤자민 버튼의 시간은 거꾸로 간다,8.87
575,2017-12-12,토르: 라그나로크,8.87
576,2017-12-12,순정,8.77
577,2017-12-12,마미,8.68
578,2017-12-12,행복한 사전,8.67
579,2017-12-12,라라랜드,8.6
580,2017-12-12,배드 지니어스,8.58
581,2017-12-12,실버라이닝 플레이북,8.56
582,2017-12-12,문영,8.53
583,2017-12-12,캐롤,8.52
584,2017-12-12,몬스터 콜,8.51
585,2017-12-12,옥자,8.46
586,2017-12-12,기억의 밤,8.4
587,2017-12-12,덩케르크,8.33
588,2017-12-12,해피 데스데이,8.33
589,2017-12-12,우리의 20세기,8.26
590,2017-12-12,반드시 잡는다,8.26
591,2017-12-12,오리엔트 특급 살인,8.2
592,2017-12-12,문라이트,8.1
593,2017-12-12,베이비 드라이버,8.07
594,2017-12-12,잠깐만 회사 좀 관두고 올게,8.01
595,2017-12-12,메소드,7.99
596,2017-12-12,너의 췌장을 먹고 싶어,7.97
597,2017-12-12,프랭크,7.95
598,2017-12-12,저스티스 리그,7.93
599,2017-12-12,최악의 하루,7.88
600,2017-12-13,아이 캔 스피크,9.34
601,2017-12-13,다시 태어나도 우리,9.32
602,2017-12-13,록키,9.3
603,2017-12-13,뽀로로 극장판 공룡섬 대모험,9.23
604,2017-12-13,"나, 다니엘 블레이크",9.22
605,2017-12-13,스쿨 오브 락,9.21
606,2017-12-13,러빙 빈센트,9.2
607,2017-12-13,킹 오브 프리즘 프라이드 더 히어로,9.2
608,2017-12-13,파수꾼,9.19
609,2017-12-13,내 사랑,9.17
610,2017-12-13,범죄도시,9.16
611,2017-12-13,댄서,9.12
612,2017-12-13,히트,9.11
613,2017-12-13,러브레터,9.09
614,2017-12-13,이프 온리,9.08
615,2017-12-13,버킷리스트: 죽기 전에 꼭 하고 싶은 것들,9.07
616,2017-12-13,"조제, 호랑이 그리고 물고기들",9.01
617,2017-12-13,우린 액션배우다,8.96
618,2017-12-13,노무현입니다,8.93
619,2017-12-13,빅풋 주니어,8.92
620,2017-12-13,매디슨 카운티의 다리,8.91
621,2017-12-13,행복을 찾아서,8.9
622,2017-12-13,미션,8.9
623,2017-12-13,채비,8.89
