연번 ,분류 ,건물명,행정동,주소,세대수,위도,경도
20,아파트,"상도삼호(분양 461, 임대 221) ",상도1동,서울특별시 동작구 상도로 407,682,37.49391739,126.9577733
21,아파트,관악현대아파트201동,상도1동,서울특별시 동작구 사당로24길 10-5,38,,
22,아파트,상도1동대림,상도1동,서울특별시 동작구 상도로60길 20,279,37.49318623,126.9532605
23,아파트,상도현대,상도1동,서울특별시 동작구 사당로2길 2-32,194,37.49419913,126.9595703
24,아파트,래미안상도2차,상도1동,서울특별시 동작구 상도로55길 47,431,37.49834009,126.9588505
25,아파트,래미안상도3차,상도1동,서울특별시 동작구 상도로53길 8,1656,37.50086276,126.9540532
26,아파트,상도엠코타운센트럴파크(힐스테이트상도센트럴파크),상도1동,서울특별시 동작구 상도로 346-1,1559,37.49678998,126.9516675
27,아파트,상도엠코타운애스톤파크(힐스테이트상도프레스티지),상도1동,서울특별시 동작구 상도로 346-2,882,37.49475271,126.9482708
28,아파트,상도SH빌(임대),상도1동,서울특별시 동작구 상도로53길 70,953,37.50253458,126.954541
29,아파트,상도페리스,상도1동,서울특별시 동작구 상도로47바길 40,80,37.50337631,126.9541113
30,아파트,삼환나우빌,상도1동,서울특별시 동작구 상도로55길 25,91,37.49840405,126.9568206
31,아파트,"상도건영(분양 824, 임대 552) ",상도2동,서울특별시 동작구 만양로 26,1376,37.50763053,126.9495436
32,아파트,"상도래미안1차(분양 517, 임대 164) ",상도2동,서울특별시 동작구 등용로 37,681,37.50523976,126.9331339
33,아파트,I'PARK상도동,상도2동,서울특별시 동작구 장승배기로 26,400,37.50066424,126.943415
34,아파트,상도더샵,상도2동,서울특별시 동작구 장승배기로4길 9,1122,37.5014493,126.9438142
35,아파트,상도더샵2차,상도2동,서울특별시 동작구 장승배기로10길 100,138,37.50286848,126.9434526
36,아파트,브라운스톤상도,상도2동,서울특별시 동작구 상도로31길 19,415,37.50623587,126.9445418
37,아파트,상도동동원베네스트,상도2동,서울특별시 동작구 상도로34길 42,162,37.50301195,126.944659
38,아파트,상도 두산위브,상도2동,서울특별시 동작구 상도로30길 39,190,37.50479562,126.9422973
39,아파트,"상도2차두산위브트레지움(분양422, 임대160)",상도2동,서울특별시 동작구 상도로30길 40,582,37.50431826,126.942467
40,아파트,"상도 효성해링턴플레이스(분양147, 임대55)",상도2동,서울특별시 동작구 상도로 207,202,37.50557126,126.9418563
41,아파트,"상도파크자이(분양387, 임대84)",상도2동,서울특별시 동작구 장승배기로11가길 11,471,37.50556599,126.9389112
42,아파트,"상도쌍용스윗닷홈(분양389, 임대65)",상도3동,서울특별시 동작구 상도로 107,454,37.5024023,126.9310692
43,아파트,상도1차갑을명가,상도3동,서울특별시 동작구 국사봉길 178,123,37.49374752,126.9340893
44,아파트,상도2차갑을명가,상도3동,서울특별시 동작구 국사봉길 175,118,37.49347327,126.9350964
45,아파트,약수맨션,상도4동,서울특별시 동작구 양녕로26길 15,130,37.49757689,126.9446235
46,아파트,롯데캐슬비엔,상도4동,서울특별시 동작구 양녕로 170,141,37.49700194,126.9436426
47,아파트,동아,상도4동,서울특별시 동작구 양녕로23길 43,75,37.4961816,126.9400389
48,아파트,상도삼익,상도4동,서울특별시 동작구 양녕로26나길 8,61,37.49736485,126.9445589
49,아파트,경향렉스빌,상도4동,서울특별시 동작구 양녕로23길 9,197,37.49532415,126.9417295
50,아파트,우리유앤미,흑석동,서울특별시 동작구 서달로 83,206,37.50042906,126.9598634
51,아파트,흑석동양,흑석동,서울특별시 동작구 서달로1길 17,423,37.50073517,126.9586697
52,아파트,명수대현대,흑석동,서울특별시 동작구 현충로 119,660,37.50827135,126.9672582
53,아파트,한강현대,흑석동,서울특별시 동작구 현충로 151,960,37.50677865,126.9689342
54,아파트,명수대한양,흑석동,서울특별시 동작구 현충로10길 42,90,37.50476273,126.9665613
55,아파트,명수대,흑석동,서울특별시 동작구 서달로 158,51,37.50705325,126.9623219
56,아파트,"흑석동청호(분양176, 임대170)",흑석동,서울특별시 동작구 서달로2길 29,346,37.50190323,126.9627348
57,아파트,"흑석한강센트레빌(분양541, 임대114)",흑석동,서울특별시 동작구 흑석한강로 12,655,37.50517984,126.9645125
58,아파트,"흑석한강푸르지오(분양716, 임대147)",흑석동,서울특별시 동작구 흑석한강로 27,863,37.50409942,126.9662844
59,아파트,"흑석한강센트레빌Ⅱ(분양798, 임대165)",흑석동,서울특별시 동작구 서달로 91,963,37.50316562,126.958891
60,아파트,르메이에르타운,사당1동,서울특별시 동작구 사당로20길 119,140,37.4784341,126.973616
61,아파트,삼성,사당1동,서울특별시 동작구 사당로26길 130-6,60,37.4780357,126.9776457
62,아파트,극동,사당2동,서울특별시 동작구 동작대로29길 119,1550,37.49088863,126.9760567
63,아파트,사당우성2단지,사당2동,서울특별시 동작구 동작대로29길 91,1080,37.48801987,126.9762953
64,아파트,사당우성3단지,사당2동,서울특별시 동작구 동작대로29길 115,855,37.49041718,126.9758253
65,아파트,대아,사당2동,서울특별시 동작구 동작대로29길 81,90,37.48883128,126.9774513
66,아파트,사당신동아4단지,"사당동(동작동)",서울특별시 동작구 동작대로29길 110,912,37.48984069,126.9779944
67,아파트,"사당5단지신동아(분양223, 임대110)","사당동(동작동)",서울특별시 동작구 동작대로29길 118,333,37.49104148,126.9771482
68,아파트,동작동금강KCC,동작동,서울특별시 동작구 동작대로39가길 55,276,37.49351407,126.9788425
69,아파트,신동아갯마을,동작동,서울특별시 동작구 동작대로43길 36,44,37.49710602,126.9809603
70,아파트,삼성,"사당동(동작동)",서울특별시 동작구 동작대로35아길 14,113,37.49310413,126.9799582
71,아파트,이수교KCC스위첸,동작동,서울특별시 동작구 동작대로45길 22,178,37.49759149,126.9815355
72,아파트,이수 힐스테이트,동작동,서울특별시 동작구 동작대로39길 22,680,37.49463598,126.981966
73,아파트,사당유니드,사당2동,서울특별시 동작구 동작대로29길 195,151,37.49328761,126.9749856
74,아파트,대림,사당3동,서울특별시 동작구 사당로17길 52,1152,37.48742742,126.973148
75,아파트,롯데캐슬샤인,사당3동,서울특별시 동작구 사당로27길 190,444,37.49095711,126.9715874
76,아파트,사당현대,사당3동,서울특별시 동작구 사당로17길 111,265,37.48772967,126.9707248
77,아파트,사당현대2차,사당3동,서울특별시 동작구 사당로17길 111,81,37.48772967,126.9707248
78,아파트,경남아너스빌,사당3동,서울특별시 동작구 사당로9가길 82,340,37.4882815,126.9671339
79,아파트,대아2차,사당3동,서울특별시 동작구 사당로 165,120,37.48741228,126.9677489
80,아파트,동작삼성래미안(1차),사당3동,서울특별시 동작구 사당로23바길 9,896,37.48960968,126.9691902
81,아파트,사당롯데캐슬솔레,사당3동,서울특별시 동작구 사당로27길 181,223,37.49055149,126.9716261
82,아파트,사당대창센시티,사당3동,서울특별시 동작구 사당로9가길 55,76,37.48690798,126.9683943
83,아파트,남성두산위브 트레지움,사당3동,서울특별시 동작구 사당로13길 31,451,37.485803,126.9712548
84,아파트,이너스내안에,사당3동,서울특별시 동작구 사당로13길 40,42,37.48609883,126.9721489
85,아파트,이수역 리가,사당3동,서울특별시 동작구 사당로27길 130,452,37.48982944,126.9728808
86,아파트,"래미안 이수역 로이파크(분양610, 임대58)",사당3동,서울특별시 동작구 사당로23길 112,668,37.48779573,126.9734721
87,아파트,삼익그린뷰,사당4동,서울특별시 동작구 남부순환로255길 21,183,37.47737607,126.9688912
88,아파트,진흥,사당4동,서울특별시 동작구 사당로16아길 43,140,37.48056197,126.9693294
89,아파트,KCC아파트,사당4동,서울특별시 동작구 사당로20나길 57,111,37.48159582,126.9739598
90,아파트,사당휴먼시아,사당4동,서울특별시 동작구 사당로16길 96,480,37.47949611,126.9701405
91,아파트,제일,사당5동,서울특별시 동작구 사당로16다길 57,296,37.48268743,126.9692541
92,아파트,인정,사당5동,서울특별시 동작구 사당로2길 72,55,37.48995661,126.9648256
93,아파트,삼호그린,사당5동,서울특별시 동작구 사당로2가길 188,211,37.48644352,126.9655243
94,아파트,사당자이,사당5동,서울특별시 동작구 사당로2가길 102,719,37.48837303,126.9634174
95,아파트,남해오네뜨,사당5동,서울특별시 동작구 사당로2가길 173,131,37.48701062,126.9655288
96,아파트,장은해그린,사당5동,서울특별시 동작구 사당로2길 40,79,37.49191768,126.9634132
97,아파트,사당갑을명가,사당5동,서울특별시 동작구 솔밭로 65,63,37.48227428,126.966441
98,아파트,관악푸르지오 102동,사당5동,서울특별시 동작구 관악로30길 27,40,37.48593701,126.9618215
99,아파트,반석블레스,사당5동,서울특별시 동작구 사당로2길 76,49,37.48949863,126.9654155
100,아파트,대방주공1차(영구임대),대방동,서울특별시 동작구 여의대방로44길 47,925,37.50992631,126.9304253
101,아파트,대방대림,대방동,서울특별시 동작구 여의대방로44길 10,1628,37.50736122,126.9260908
102,아파트,대방성원,대방동,서울특별시 동작구 여의대방로44길 9,487,37.50973084,126.9259178
103,아파트,대방현대1차,대방동,서울특별시 동작구 노량진로 40,514,37.51301522,126.930271
104,아파트,대방2단지주공,대방동,서울특별시 동작구 여의대방로44길 47,798,37.50992631,126.9304253
105,아파트,대방한국개나리,대방동,서울특별시 동작구 여의대방로62길 15,90,37.51417479,126.9285779
106,아파트,신한토탈,대방동,서울특별시 동작구 등용로14길 34,134,37.51179644,126.9330894
107,아파트,우정,대방동,서울특별시 동작구 여의대방로62길 23,206,37.51428026,126.9294056
108,아파트,대방2차현대,대방동,서울특별시 동작구 알마타길 58,278,37.51081665,126.9311465
109,아파트,대방1차e-편한세상,대방동,서울특별시 동작구 알마타길 37,609,37.51265989,126.9295526
110,아파트,대방2차e-편한세상,대방동,서울특별시 동작구 알마타길 53,100,37.51203051,126.931342
111,아파트,보라매코오롱하늘채,대방동,서울특별시 동작구 여의대방로24다길 40,200,37.49851534,126.9228776
112,아파트,대방동신일해피트리,대방동,"서울특별시 동작구 여의대방로62길 7여의대방로62길 8",130,,
113,아파트,대방동경남아너스빌,대방동,서울특별시 동작구 여의대방로54길 6,163,37.51155229,126.9253078
114,아파트,신대방우성1차,신대방1동,서울특별시 동작구 여의대방로 22,1335,37.49106174,126.9116424
115,아파트,신대방2차우성,신대방1동,서울특별시 동작구 여의대방로 8,174,37.49310363,126.9106015
116,아파트,신대방현대,신대방1동,서울특별시 동작구 여의대방로 28,880,37.49527344,126.9116905
117,아파트,경남교수,신대방1동,서울특별시 동작구 여의대방로10길 14,295,37.49632776,126.9139635
118,아파트,신대방경남,신대방1동,서울특별시 동작구 신대방길 85,427,37.49005342,126.9083379
119,아파트,롯데낙천대,신대방1동,서울특별시 동작구 여의대방로10길 38,734,37.49540996,126.9125665
120,아파트,현진에버빌,신대방1동,서울특별시 동작구 신대방1나길 45,135,37.48588021,126.9070485
121,아파트,숲속마을신동아파밀리에,신대방1동,서울특별시 동작구 여의대방로10길 100,105,37.49157807,126.9145347
122,아파트,펭귄대방,신대방2동,서울특별시 동작구 여의대방로22나길 47,60,37.49620293,126.9227728
123,아파트,신대방신동아,신대방2동,서울특별시 동작구 여의대방로22아길 22,171,37.49660641,126.9240309
124,아파트,신대방한성,신대방2동,서울특별시 동작구 여의대방로10길 13,272,37.49574265,126.9152118
125,아파트,"신대방(분양 60, 임대48)",신대방2동,서울특별시 동작구 보라매로 83,108,37.49665868,126.9273398
126,아파트,보라매우성,"신대방2동",서울특별시 동작구 보라매로5길 5,199,37.49238847,126.925359
127,아파트,신대방벽산,신대방2동,서울특별시 동작구 여의대방로22길 24,132,37.49744995,126.9215728
128,아파트,보라매파크빌,신대방2동,서울특별시 동작구 여의대방로10길 59,423,37.49511473,126.9150796
129,아파트,"해태보라매타워(관악구)(동작구118세대)","신대방2동",서울특별시 동작구 보라매로3길 29,256,37.49121134,126.9249903
130,아파트,보라매 e편한세상,신대방2동,서울특별시 동작구 보라매로 70,386,37.49577317,126.9289798
131,아파트,"흑석아크로리버하임(분양911,임대162)",흑석동,서울특별시 동작구 현충로 52,1073,37.5096318,126.9622042
132,아파트,"흑석롯데캐슬에듀포레(분양451,임대94)",흑석동,서울특별시 동작구 서달로 123,545,37.50421186,126.9596731
133,아파트,"e편한세상 상도노빌리티(분양888,임대5)",상도2동,서울특별시 동작구 만양로 6,893,37.50495703,126.9469878
134,아파트,사당롯데캐슬골든포레,사당5동,서울특별시 동작구 사당로 90,959,37.49083312,126.9633456
135,아파트,상도역롯데캐슬파크엘,상도2동,서울틀별시 동작구 양녕로 220,950,37.49989893,126.9454762
136,주상복합,상도휴엔하임(도시형),상도2동,서울특별시 동작구 상도로15길 131,298,37.5049676,126.9379704
137,주상복합,이랜드해가든,흑석동,서울특별시 동작구 서달로 150,154,37.50662658,126.9621838
138,주상복합,이수자이,사당2동,서울특별시 동작구 사당로 300,140,37.48437909,126.9802816
139,주상복합,동작상떼빌,신대방1동,서울특별시 동작구 신대방1가길 38,545,37.487901,126.9069396
140,주상복합,삼성보라매옴니타워,신대방2동,서울특별시 동작구 보라매로5길 23,72,37.49257855,126.9236102
141,주상복합,보라매현대(한국컴퓨터),신대방2동,서울특별시 동작구 보라매로5길 35,82,37.49209014,126.9235081
142,주상복합,보라매삼성쉐르빌,신대방2동,서울특별시 동작구 보라매로5길 43,246,37.49143108,126.923417
143,주상복합,롯데타워,신대방2동,서울특별시 동작구 보라매로5길 51,90,37.49094201,126.9232712
144,주상복합,보라매나산스위트,신대방2동,서울특별시 동작구 보라매로5가길 24,99,37.49069953,126.9239441
145,주상복합,보라매아카데미타워,신대방2동,서울특별시 동작구 보라매로5가길 16,225,37.4912751,126.9240947
146,주상복합,캐릭터그린빌,신대방2동,서울특별시 동작구 보라매로5가길 7,96,37.49189234,126.9251557
147,연립주택,은하맨션,노량진1동,서울특별시 동작구 장승배기로28길36,32,37.51221007,126.9424498
148,연립주택,삼원,본동 ,서울특별시 동작구 매봉로 149,35,37.51100575,126.9507461
149,연립주택,우성아파트,노량진2동,서울특별시 동작구 노량진로6길 29,37,37.51151191,126.9360396
150,연립주택,태건,상도2동 ,서울특별시 동작구 상도로34길 59,24,37.50231766,126.9456743
151,연립주택,동도,상도3동 ,서울특별시 동작구 상도로13나길 37,48,37.5032199,126.9286912
152,연립주택,대광,상도4동 ,서울특별시 동작구 양녕로 216,48,37.50001145,126.9452981
153,연립주택,청학,상도4동 ,서울특별시 동작구 양녕로 212,23,37.49990772,126.9450452
154,연립주택,현진,상도4동 ,서울특별시 동작구 양녕로 177,42,37.49715225,126.9429326
155,연립주택,성대,상도4동 ,서울특별시 동작구 성대로 31,30,37.49914529,126.9338146
156,연립주택,정경맨션,상도4동,서울특별시 동작구 성대로19길 24,24,37.49933413,126.9365788
157,연립주택,경운,사당1동 ,서울특별시 동작구 동작대로7길 64,39,37.47866901,126.9785783
158,연립주택,칠성연립,사당1동,서울특별시 동작구 사당로 20길 109,30,37.47869239,126.9746775
159,연립주택,태평빌라주택,사당1동,서울특별시 동작구 사당동 282-6,21,,
160,연립주택,동작연립,동작동,서울특별시 동작구 동작대로43길 22,32,37.49700121,126.9813339
161,연립주택,성락,사당3동 ,서울특별시 동작구 사당로27길 247,42,37.49249907,126.968981
162,연립주택,신아,사당4동 ,서울특별시 동작구 사당로16길 137-1,30,37.47763298,126.9704117
163,연립주택,유성,사당5동 ,서울특별시 동작구 사당로10길 1,24,37.48481451,126.9701924
164,연립주택,신남성연립,사당5동,서울특별시 동작구 사당로2가길 131,36,37.48933248,126.9641933
165,연립주택,연우연립,사당5동,서울특별시 동작구 사당로8길 68,21,37.4827902,126.9671122
166,연립주택,능내연립,사당5동,서울특별시 동작구 사당로8길 39,22,37.48359946,126.9686725
167,연립주택,천록,대방동 ,서울특별시 동작구 등용로 43,29,37.50547501,126.9334342
